,date,index
69,2017-12-27,"[2.14, Timestamp('2017-09-20 00:00:00'), 2718871981035.5356]"
70,2017-12-28,"[2.04, Timestamp('2017-09-20 00:00:00'), 2844670138488.4795]"
71,2017-12-29,"[1.84, Timestamp('2017-09-20 00:00:00'), 1833623399753.1519]"
72,2018-01-02,"[1.76, Timestamp('2017-09-20 00:00:00'), 2706357931709.4375]"
73,2018-01-03,"[1.6, Timestamp('2017-09-20 00:00:00'), 1312372808986.5483]"
74,2018-01-04,"[1.51, Timestamp('2017-09-20 00:00:00'), 1261322718427.79]"
75,2018-01-05,"[1.47, Timestamp('2017-09-20 00:00:00'), 743756789142.3477]"
76,2018-01-08,"[1.45, Timestamp('2017-09-20 00:00:00'), 936258778350.5742]"
77,2018-01-09,"[1.24, Timestamp('2017-09-20 00:00:00'), 1083850423397.0815]"
78,2018-01-10,"[1.12, Timestamp('2017-09-20 00:00:00'), 1333398746015.7554]"
79,2018-01-11,"[1.09, Timestamp('2017-09-20 00:00:00'), 1642282698602.0137]"
80,2018-01-12,"[1.08, Timestamp('2017-09-20 00:00:00'), 1158294573280.369]"
81,2018-01-15,"[1.04, Timestamp('2017-09-20 00:00:00'), 588322638261.1615]"
82,2018-01-16,"[1.04, Timestamp('2017-09-20 00:00:00'), 1400797020256.9958]"
83,2018-01-17,"[1.03, Timestamp('2017-09-20 00:00:00'), 1123359265362.937]"
84,2018-01-18,"[1.01, Timestamp('2017-09-20 00:00:00'), 1993694769131.2275]"
85,2018-01-19,"[0.97, Timestamp('2017-09-20 00:00:00'), 2113096874025.6743]"
86,2018-01-22,"[0.86, Timestamp('2017-09-20 00:00:00'), 1069616548101.0403]"
87,2018-01-23,"[0.85, Timestamp('2017-09-20 00:00:00'), 1687363073193.5115]"
88,2018-01-24,"[0.78, Timestamp('2017-09-20 00:00:00'), 558536300865.6987]"
89,2018-01-25,"[0.75, Timestamp('2017-09-20 00:00:00'), 764240632955.2563]"
90,2018-01-26,"[0.75, Timestamp('2017-09-20 00:00:00'), 1322976269583.965]"
91,2018-01-29,"[0.68, Timestamp('2017-09-20 00:00:00'), 582214065634.8413]"
92,2018-01-30,"[0.67, Timestamp('2017-09-20 00:00:00'), 1111824633650.9841]"
93,2018-01-31,"[0.64, Timestamp('2017-09-20 00:00:00'), 532299324919.86694]"
94,2018-02-01,"[0.63, Timestamp('2017-09-20 00:00:00'), 514318695087.9133]"
95,2018-02-02,"[0.62, Timestamp('2017-09-20 00:00:00'), 140752939930.25977]"
96,2018-02-05,"[0.61, Timestamp('2017-09-20 00:00:00'), 804659775620.021]"
97,2018-02-06,"[0.6, Timestamp('2017-09-20 00:00:00'), 727036519544.0161]"
98,2018-02-07,"[0.6, Timestamp('2017-09-20 00:00:00'), 394855618743.0469]"
99,2018-02-08,"[0.5, Timestamp('2017-09-20 00:00:00'), 498214144780.0]"
100,2018-02-09,"[0.43, Timestamp('2017-09-20 00:00:00'), 467734822503.94824]"
101,2018-02-12,265441860380322.88
102,2018-02-13,"[6.75, Timestamp('2017-09-21 00:00:00'), 9494433560903.941]"
103,2018-02-14,"[6.23, Timestamp('2017-09-21 00:00:00'), 5500333627340.759]"
104,2018-02-15,"[5.92, Timestamp('2017-09-21 00:00:00'), 12001137430120.523]"
105,2018-02-16,"[5.02, Timestamp('2017-09-21 00:00:00'), 5052036538801.699]"
106,2018-02-19,"[4.4, Timestamp('2017-09-21 00:00:00'), 5845381805681.396]"
107,2018-02-20,"[4.34, Timestamp('2017-09-21 00:00:00'), 3031510583831.4854]"
108,2018-02-21,"[3.8, Timestamp('2017-09-21 00:00:00'), 8114650051464.359]"
109,2018-02-22,"[3.68, Timestamp('2017-09-21 00:00:00'), 7176887856092.761]"
110,2018-02-23,"[3.75, Timestamp('2017-09-21 00:00:00'), 7186365197162.867]"
111,2018-02-26,"[3.25, Timestamp('2017-09-21 00:00:00'), 6647858915780.903]"
112,2018-02-27,"[2.97, Timestamp('2017-09-21 00:00:00'), 2077475802775.5833]"
113,2018-02-28,"[2.71, Timestamp('2017-09-21 00:00:00'), 3784714440753.6445]"
114,2018-03-01,"[2.57, Timestamp('2017-09-21 00:00:00'), 1383478125647.085]"
115,2018-03-02,"[2.32, Timestamp('2017-09-21 00:00:00'), 3563338997620.0894]"
116,2018-03-05,"[2.24, Timestamp('2017-09-21 00:00:00'), 2852624590468.801]"
117,2018-03-06,"[2.23, Timestamp('2017-09-21 00:00:00'), 3839519214650.9204]"
118,2018-03-07,"[2.23, Timestamp('2017-09-21 00:00:00'), 4290982476512.324]"
119,2018-03-08,"[2.21, Timestamp('2017-09-21 00:00:00'), 2714032039182.3545]"
120,2018-03-09,"[2.14, Timestamp('2017-09-21 00:00:00'), 2709724375583.361]"
121,2018-03-12,"[2.04, Timestamp('2017-09-21 00:00:00'), 2913529588453.892]"
122,2018-03-13,"[1.84, Timestamp('2017-09-21 00:00:00'), 1877823715112.2522]"
123,2018-03-14,"[1.76, Timestamp('2017-09-21 00:00:00'), 2637524015647.528]"
124,2018-03-15,"[1.6, Timestamp('2017-09-21 00:00:00'), 1305467409871.0986]"
125,2018-03-16,"[1.51, Timestamp('2017-09-21 00:00:00'), 1260471443162.4053]"
126,2018-03-19,"[1.47, Timestamp('2017-09-21 00:00:00'), 752194202640.6865]"
127,2018-03-20,"[1.45, Timestamp('2017-09-21 00:00:00'), 942686839704.0469]"
128,2018-03-21,"[1.24, Timestamp('2017-09-21 00:00:00'), 1068228656539.3291]"
129,2018-03-22,"[1.12, Timestamp('2017-09-21 00:00:00'), 1311234831462.0054]"
130,2018-03-23,"[1.09, Timestamp('2017-09-21 00:00:00'), 1658099351229.5513]"
131,2018-03-26,"[1.08, Timestamp('2017-09-21 00:00:00'), 1168676835951.3142]"
132,2018-03-27,"[1.04, Timestamp('2017-09-21 00:00:00'), 585228458786.825]"
133,2018-03-28,"[1.04, Timestamp('2017-09-21 00:00:00'), 1410573475096.3098]"
134,2018-03-29,"[1.03, Timestamp('2017-09-21 00:00:00'), 1120974182881.4985]"
135,2018-04-03,"[1.01, Timestamp('2017-09-21 00:00:00'), 1966773166070.5234]"
136,2018-04-04,"[0.97, Timestamp('2017-09-21 00:00:00'), 2081420385150.242]"
137,2018-04-05,"[0.86, Timestamp('2017-09-21 00:00:00'), 1062334557261.397]"
138,2018-04-06,"[0.85, Timestamp('2017-09-21 00:00:00'), 1696125085719.7085]"
139,2018-04-09,"[0.78, Timestamp('2017-09-21 00:00:00'), 552778211866.9988]"
140,2018-04-10,"[0.75, Timestamp('2017-09-21 00:00:00'), 751406757487.4272]"
141,2018-04-11,"[0.75, Timestamp('2017-09-21 00:00:00'), 1327762631736.9753]"
142,2018-04-12,"[0.68, Timestamp('2017-09-21 00:00:00'), 583936644437.7036]"
143,2018-04-13,"[0.67, Timestamp('2017-09-21 00:00:00'), 1130044254537.4263]"
144,2018-04-16,"[0.64, Timestamp('2017-09-21 00:00:00'), 523833337605.33655]"
145,2018-04-17,"[0.63, Timestamp('2017-09-21 00:00:00'), 508098817048.01953]"
146,2018-04-18,"[0.62, Timestamp('2017-09-21 00:00:00'), 138230827680.0]"
147,2018-04-19,"[0.61, Timestamp('2017-09-21 00:00:00'), 805057535961.8567]"
148,2018-04-20,"[0.6, Timestamp('2017-09-21 00:00:00'), 721824338213.7598]"
149,2018-04-23,"[0.6, Timestamp('2017-09-21 00:00:00'), 393027675236.09375]"
150,2018-04-24,"[0.5, Timestamp('2017-09-21 00:00:00'), 485758791160.5]"
151,2018-04-25,"[0.43, Timestamp('2017-09-21 00:00:00'), 470734481604.8628]"
152,2018-04-26,397920206516015.1
153,2018-04-27,"[6.75, Timestamp('2017-09-22 00:00:00'), 9500003437257.207]"
154,2018-04-30,"[6.23, Timestamp('2017-09-22 00:00:00'), 5665857168874.306]"
155,2018-05-01,"[5.92, Timestamp('2017-09-22 00:00:00'), 12092609495247.316]"
156,2018-05-02,"[5.02, Timestamp('2017-09-22 00:00:00'), 5085432041438.826]"
157,2018-05-03,"[4.4, Timestamp('2017-09-22 00:00:00'), 5869272523713.042]"
158,2018-05-04,"[4.34, Timestamp('2017-09-22 00:00:00'), 3061690218620.193]"
159,2018-05-08,"[3.8, Timestamp('2017-09-22 00:00:00'), 8196416791472.502]"
160,2018-05-09,"[3.68, Timestamp('2017-09-22 00:00:00'), 7224887117447.846]"
161,2018-05-10,"[3.75, Timestamp('2017-09-22 00:00:00'), 7267668616761.602]"
162,2018-05-11,"[3.25, Timestamp('2017-09-22 00:00:00'), 6719808159006.516]"
163,2018-05-14,"[2.97, Timestamp('2017-09-22 00:00:00'), 2079021584082.3623]"
164,2018-05-15,"[2.71, Timestamp('2017-09-22 00:00:00'), 3842863108862.159]"
165,2018-05-16,"[2.57, Timestamp('2017-09-22 00:00:00'), 1385036761601.0972]"
166,2018-05-17,"[2.32, Timestamp('2017-09-22 00:00:00'), 3564343651852.0767]"
167,2018-05-18,"[2.24, Timestamp('2017-09-22 00:00:00'), 2857564022753.978]"
168,2018-05-21,"[2.23, Timestamp('2017-09-22 00:00:00'), 3808780584488.3154]"
169,2018-05-22,"[2.23, Timestamp('2017-09-22 00:00:00'), 4294075018352.529]"
170,2018-05-23,"[2.21, Timestamp('2017-09-22 00:00:00'), 2717392922770.0845]"
171,2018-05-24,"[2.14, Timestamp('2017-09-22 00:00:00'), 2698861377792.089]"
172,2018-05-25,"[2.04, Timestamp('2017-09-22 00:00:00'), 2931127135200.6924]"
173,2018-05-29,"[1.84, Timestamp('2017-09-22 00:00:00'), 1879205196327.764]"
174,2018-05-30,"[1.76, Timestamp('2017-09-22 00:00:00'), 2666064722141.5366]"
175,2018-05-31,"[1.6, Timestamp('2017-09-22 00:00:00'), 1307539038427.9316]"
176,2018-06-01,"[1.51, Timestamp('2017-09-22 00:00:00'), 1273238031352.7402]"
177,2018-06-04,"[1.47, Timestamp('2017-09-22 00:00:00'), 753037954898.054]"
178,2018-06-05,"[1.45, Timestamp('2017-09-22 00:00:00'), 952529256838.9688]"
179,2018-06-06,"[1.24, Timestamp('2017-09-22 00:00:00'), 1082362617063.8447]"
180,2018-06-07,"[1.12, Timestamp('2017-09-22 00:00:00'), 1314451969201.932]"
181,2018-06-08,"[1.09, Timestamp('2017-09-22 00:00:00'), 1666007677543.3203]"
182,2018-06-11,"[1.08, Timestamp('2017-09-22 00:00:00'), 1171385216955.8755]"
183,2018-06-12,"[1.04, Timestamp('2017-09-22 00:00:00'), 581009087278.0701]"
184,2018-06-13,"[1.04, Timestamp('2017-09-22 00:00:00'), 1413366594354.144]"
185,2018-06-14,"[1.03, Timestamp('2017-09-22 00:00:00'), 1124154377398.1675]"
186,2018-06-15,"[1.01, Timestamp('2017-09-22 00:00:00'), 1974727385770.46]"
187,2018-06-18,"[0.97, Timestamp('2017-09-22 00:00:00'), 2083262380722.952]"
188,2018-06-19,"[0.86, Timestamp('2017-09-22 00:00:00'), 1065570997634.5718]"
189,2018-06-20,"[0.85, Timestamp('2017-09-22 00:00:00'), 1683212646207.418]"
190,2018-06-21,"[0.78, Timestamp('2017-09-22 00:00:00'), 556965959106.9331]"
191,2018-06-22,"[0.75, Timestamp('2017-09-22 00:00:00'), 759272699896.312]"
192,2018-06-25,"[0.75, Timestamp('2017-09-22 00:00:00'), 1353609566475.409]"
193,2018-06-26,"[0.68, Timestamp('2017-09-22 00:00:00'), 590252497684.8018]"
194,2018-06-27,"[0.67, Timestamp('2017-09-22 00:00:00'), 1137852507258.0874]"
195,2018-06-28,"[0.64, Timestamp('2017-09-22 00:00:00'), 525738234097.7479]"
196,2018-06-29,"[0.63, Timestamp('2017-09-22 00:00:00'), 503380325800.845]"
197,2018-07-02,"[0.62, Timestamp('2017-09-22 00:00:00'), 136872776346.25977]"
198,2018-07-03,"[0.61, Timestamp('2017-09-22 00:00:00'), 809830600970.0889]"
199,2018-07-04,"[0.6, Timestamp('2017-09-22 00:00:00'), 729121628224.1816]"
200,2018-07-05,"[0.6, Timestamp('2017-09-22 00:00:00'), 394490103967.03125]"
201,2018-07-06,"[0.5, Timestamp('2017-09-22 00:00:00'), 496186529074.5]"
202,2018-07-09,"[0.43, Timestamp('2017-09-22 00:00:00'), 469235325426.4839]"
203,2018-07-10,531236852158056.4
204,2018-07-11,"[6.75, Timestamp('2017-09-25 00:00:00'), 9511142569710.25]"
205,2018-07-12,"[6.23, Timestamp('2017-09-25 00:00:00'), 5686620000569.162]"
206,2018-07-13,"[5.92, Timestamp('2017-09-25 00:00:00'), 11994485029269.715]"
207,2018-07-16,"[5.02, Timestamp('2017-09-25 00:00:00'), 5085432041438.826]"
208,2018-07-17,"[4.4, Timestamp('2017-09-25 00:00:00'), 5893165646991.777]"
209,2018-07-18,"[4.34, Timestamp('2017-09-25 00:00:00'), 3005704947348.0767]"
210,2018-07-19,"[3.8, Timestamp('2017-09-25 00:00:00'), 8150200662714.528]"
211,2018-07-20,"[3.68, Timestamp('2017-09-25 00:00:00'), 7314695738058.597]"
212,2018-07-23,"[3.75, Timestamp('2017-09-25 00:00:00'), 7332381769688.285]"
213,2018-07-24,"[3.25, Timestamp('2017-09-25 00:00:00'), 6773770996174.5205]"
214,2018-07-25,"[2.97, Timestamp('2017-09-25 00:00:00'), 2054289970825.1792]"
215,2018-07-26,"[2.71, Timestamp('2017-09-25 00:00:00'), 3854153954024.3086]"
216,2018-07-27,"[2.57, Timestamp('2017-09-25 00:00:00'), 1338799428490.6426]"
217,2018-07-30,"[2.32, Timestamp('2017-09-25 00:00:00'), 3499044626201.8447]"
218,2018-07-31,"[2.24, Timestamp('2017-09-25 00:00:00'), 2832457735969.364]"
219,2018-08-01,"[2.23, Timestamp('2017-09-25 00:00:00'), 3749579922139.1987]"
220,2018-08-02,"[2.23, Timestamp('2017-09-25 00:00:00'), 4312632720226.016]"
221,2018-08-03,"[2.21, Timestamp('2017-09-25 00:00:00'), 2732517805546.536]"
222,2018-08-06,"[2.14, Timestamp('2017-09-25 00:00:00'), 2709438404754.573]"
223,2018-08-07,"[2.04, Timestamp('2017-09-25 00:00:00'), 2902818118459.2725]"
224,2018-08-08,"[1.84, Timestamp('2017-09-25 00:00:00'), 1861248620783.4587]"
225,2018-08-09,"[1.76, Timestamp('2017-09-25 00:00:00'), 2664386010468.0693]"
226,2018-08-10,"[1.6, Timestamp('2017-09-25 00:00:00'), 1293037726752.0815]"
227,2018-08-13,"[1.51, Timestamp('2017-09-25 00:00:00'), 1263875881409.0479]"
228,2018-08-14,"[1.47, Timestamp('2017-09-25 00:00:00'), 742491133487.4626]"
229,2018-08-15,"[1.45, Timestamp('2017-09-25 00:00:00'), 951324125576.6719]"
230,2018-08-16,"[1.24, Timestamp('2017-09-25 00:00:00'), 1094264828160.2583]"
231,2018-08-17,"[1.12, Timestamp('2017-09-25 00:00:00'), 1308017577289.8926]"
232,2018-08-20,"[1.09, Timestamp('2017-09-25 00:00:00'), 1675234025577.9907]"
233,2018-08-21,"[1.08, Timestamp('2017-09-25 00:00:00'), 1157843131284.011]"
234,2018-08-22,"[1.04, Timestamp('2017-09-25 00:00:00'), 578618004894.7742]"
235,2018-08-23,"[1.04, Timestamp('2017-09-25 00:00:00'), 1407780236408.0547]"
236,2018-08-24,"[1.03, Timestamp('2017-09-25 00:00:00'), 1132899341664.437]"
237,2018-08-28,"[1.01, Timestamp('2017-09-25 00:00:00'), 1973809794525.2021]"
238,2018-08-29,"[0.97, Timestamp('2017-09-25 00:00:00'), 2113833672254.7583]"
239,2018-08-30,"[0.86, Timestamp('2017-09-25 00:00:00'), 1072852668372.6353]"
240,2018-08-31,"[0.85, Timestamp('2017-09-25 00:00:00'), 1654621131073.0974]"
241,2018-09-03,"[0.78, Timestamp('2017-09-25 00:00:00'), 556442427245.7314]"
242,2018-09-04,"[0.75, Timestamp('2017-09-25 00:00:00'), 765068660517.5254]"
243,2018-09-05,"[0.75, Timestamp('2017-09-25 00:00:00'), 1362225163128.872]"
244,2018-09-07,"[0.68, Timestamp('2017-09-25 00:00:00'), 596568413015.7607]"
245,2018-09-10,"[0.67, Timestamp('2017-09-25 00:00:00'), 1133948302782.4211]"
246,2018-09-11,"[0.64, Timestamp('2017-09-25 00:00:00'), 527008165092.68884]"
247,2018-09-12,"[0.63, Timestamp('2017-09-25 00:00:00'), 500377615198.3242]"
248,2018-09-13,"[0.62, Timestamp('2017-09-25 00:00:00'), 137697302226.87012]"
249,2018-09-14,"[0.61, Timestamp('2017-09-25 00:00:00'), 807444098012.8708]"
250,2018-09-17,"[0.6, Timestamp('2017-09-25 00:00:00'), 727185607687.7827]"
251,2018-09-18,"[0.6, Timestamp('2017-09-25 00:00:00'), 398146083387.65625]"
252,2018-09-19,"[0.5, Timestamp('2017-09-25 00:00:00'), 491841638277.0]"
253,2018-09-20,"[0.43, Timestamp('2017-09-25 00:00:00'), 468110564123.6782]"
254,2018-09-21,664388386197336.0
255,2018-09-24,"[6.75, Timestamp('2017-09-26 00:00:00'), 9522282942670.273]"
256,2018-09-25,"[6.23, Timestamp('2017-09-26 00:00:00'), 5638174460965.576]"
257,2018-09-26,"[5.92, Timestamp('2017-09-26 00:00:00'), 11962885814542.738]"
258,2018-09-27,"[5.02, Timestamp('2017-09-26 00:00:00'), 5068734849752.643]"
259,2018-10-01,"[4.4, Timestamp('2017-09-26 00:00:00'), 5901127616170.933]"
260,2018-10-02,"[4.34, Timestamp('2017-09-26 00:00:00'), 2989084071627.225]"
261,2018-10-03,"[3.8, Timestamp('2017-09-26 00:00:00'), 8265743769049.079]"
262,2018-10-04,"[3.68, Timestamp('2017-09-26 00:00:00'), 7301533879588.253]"
263,2018-10-05,"[3.75, Timestamp('2017-09-26 00:00:00'), 7393774066025.07]"
264,2018-10-09,"[3.25, Timestamp('2017-09-26 00:00:00'), 6829231644973.731]"
265,2018-10-10,"[2.97, Timestamp('2017-09-26 00:00:00'), 2038832284564.7139]"
266,2018-10-11,"[2.71, Timestamp('2017-09-26 00:00:00'), 3833265782763.6885]"
267,2018-10-12,"[2.57, Timestamp('2017-09-26 00:00:00'), 1336202101935.5151]"
268,2018-10-15,"[2.32, Timestamp('2017-09-26 00:00:00'), 3448814141511.809]"
269,2018-10-16,"[2.24, Timestamp('2017-09-26 00:00:00'), 2814348676783.0864]"
270,2018-10-17,"[2.23, Timestamp('2017-09-26 00:00:00'), 3699486455956.574]"
271,2018-10-18,"[2.23, Timestamp('2017-09-26 00:00:00'), 4299229935539.6084]"
272,2018-10-19,"[2.21, Timestamp('2017-09-26 00:00:00'), 2722434474809.596]"
273,2018-10-22,"[2.14, Timestamp('2017-09-26 00:00:00'), 2696288721917.072]"
274,2018-10-23,"[2.04, Timestamp('2017-09-26 00:00:00'), 2881395705492.592]"
275,2018-10-24,"[1.84, Timestamp('2017-09-26 00:00:00'), 1843982977293.8628]"
276,2018-10-25,"[1.76, Timestamp('2017-09-26 00:00:00'), 2655991365415.289]"
277,2018-10-26,"[1.6, Timestamp('2017-09-26 00:00:00'), 1293037726752.0815]"
278,2018-10-29,"[1.51, Timestamp('2017-09-26 00:00:00'), 1268131373982.7764]"
279,2018-10-30,"[1.47, Timestamp('2017-09-26 00:00:00'), 742069284627.6128]"
280,2018-10-31,"[1.45, Timestamp('2017-09-26 00:00:00'), 950922378596.8945]"
281,2018-11-01,"[1.24, Timestamp('2017-09-26 00:00:00'), 1086825876350.5679]"
282,2018-11-02,"[1.12, Timestamp('2017-09-26 00:00:00'), 1320529496462.9314]"
283,2018-11-05,"[1.09, Timestamp('2017-09-26 00:00:00'), 1667325699264.2217]"
284,2018-11-06,"[1.08, Timestamp('2017-09-26 00:00:00'), 1153780604939.4336]"
285,2018-11-07,"[1.04, Timestamp('2017-09-26 00:00:00'), 573273572845.3528]"
286,2018-11-08,"[1.04, Timestamp('2017-09-26 00:00:00'), 1392138075867.7417]"
287,2018-11-09,"[1.03, Timestamp('2017-09-26 00:00:00'), 1125744094220.1216]"
288,2018-11-12,"[1.01, Timestamp('2017-09-26 00:00:00'), 2003484171321.6797]"
289,2018-11-13,"[0.97, Timestamp('2017-09-26 00:00:00'), 2103152087129.1243]"
290,2018-11-14,"[0.86, Timestamp('2017-09-26 00:00:00'), 1063143880755.7439]"
291,2018-11-15,"[0.85, Timestamp('2017-09-26 00:00:00'), 1656465922896.3003]"
292,2018-11-16,"[0.78, Timestamp('2017-09-26 00:00:00'), 556965959106.9331]"
293,2018-11-19,"[0.75, Timestamp('2017-09-26 00:00:00'), 758030687592.2422]"
294,2018-11-20,"[0.75, Timestamp('2017-09-26 00:00:00'), 1339250190460.289]"
295,2018-11-21,"[0.68, Timestamp('2017-09-26 00:00:00'), 589678408223.6157]"
296,2018-11-22,"[0.67, Timestamp('2017-09-26 00:00:00'), 1135683556848.4966]"
297,2018-11-23,"[0.64, Timestamp('2017-09-26 00:00:00'), 526796458322.5338]"
298,2018-11-26,"[0.63, Timestamp('2017-09-26 00:00:00'), 496731502599.7877]"
299,2018-11-27,"[0.62, Timestamp('2017-09-26 00:00:00'), 137163776773.74023]"
300,2018-11-28,"[0.61, Timestamp('2017-09-26 00:00:00'), 799886710611.7888]"
301,2018-11-29,"[0.6, Timestamp('2017-09-26 00:00:00'), 727334380967.4653]"
302,2018-11-30,"[0.6, Timestamp('2017-09-26 00:00:00'), 395952486494.6094]"
303,2018-12-03,"[0.5, Timestamp('2017-09-26 00:00:00'), 485179472387.5]"
304,2018-12-04,"[0.43, Timestamp('2017-09-26 00:00:00'), 464986479001.64844]"
